
        Percent of Features Tracked Matrix         
---------------------------------------------------
(FrameID) (NumTrks) (%TrkFromID  -1 -2 -5 -10)

[0, 984, -1, -1, -1, -1;
  1, 984, 0.2432090966519267, -1, -1, -1;
  2, 984, 0.2879581151832461, 0.1194539249146758, -1, -1;
  3, 984, 0.2559029993618379, 0.1025210084033613, -1, -1;
  4, 984, 0.2615384615384616, 0.1043771043771044, -1, -1;
  5, 984, 0.2639691714836224, 0.1175468483816014, 0.006649616368286445, -1;
  6, 984, 0.2615384615384616, 0.1000558971492454, 0.009230769230769232, -1;
  7, 984, 0.1934505761067314, 0.09637883008356546, 0.01130524152106886, -1;
  8, 984, 0.2284644194756554, 0.08310401761144744, 0.009748589020010261, -1;
  9, 984, 0.2664092664092664, 0.09454949944382647, 0.01391035548686244, -1;
  10, 984, 0.2655948553054662, 0.1031390134529148, 0.0149561629706034, 0;
  11, 984, 0.2913385826771653, 0.1137521222410866, 0.01182519280205655, 0;
  12, 984, 0.3033112582781457, 0.1395483497394325, 0.008713480266529985, 0.0005083884087442806;
  13, 948, 0.1977681339119653, 0.09029345372460497, 0.01151832460732984, 0.0005178663904712584;
  14, 946, 0.207138304652645, 0.0800223838836038, 0.01472134595162986, 0.001037344398340249;
  15, 943, 0.2155727155727156, 0.0867816091954023, 0.01367701209889532, 0.0005192107995846313;
  16, 925, 0.2768284347231716, 0.08779069767441861, 0.007387862796833773, 0.0005241090146750524;
  17, 898, 0.2129075182967398, 0.0912863070539419, 0.004268943436499467, 0;
  18, 903, 0.1552277100705581, 0.05971014492753624, 0.006525285481239805, 0;
  19, 899, 0.2069658405894173, 0.06837098692033294, 0.005449591280653951, 0;
  20, 936, 0.2415426251691475, 0.07922535211267606, 0.008047210300429184, 0;
  21, 875, 0.2081387591727819, 0.07776427703523693, 0.003344481605351171, 0;
  22, 888, 0.2108516483516484, 0.07610619469026549, 0.003934794828555369, 0;
  23, 877, 0.3132440476190476, 0.1145038167938931, 0.006218202374222725, 0;
  24, 903, 0.2361111111111111, 0.1292559899117276, 0.01008968609865471, 0;
  25, 925, 0.1635900700190961, 0.06187389510901591, 0.004317323259579061, 0;
  26, 915, 0.1507191994996873, 0.04542840713053479, 0.003925967470555244, 0.000543773790103317;
  27, 853, 0.1646903820816864, 0.04403992953611274, 0.004616272360069244, 0.0005714285714285715;
  28, 797, 0.07421875, 0.026378896882494, 0.001196172248803828, 0;
  29, 822, 0.1572551822730522, 0.02009744214372716, 0, 0;
  30, 858, 0.1111111111111111, 0.029869321717486, 0, 0;
  31, 846, 0.1497975708502024, 0.0270935960591133, 0, 0;
  32, 882, 0.09993634627625717, 0.02654867256637168, 0, 0;
  33, 857, 0.1248382923673997, 0.01976047904191617, 0, 0;
  34, 847, 0.09090909090909091, 0.01945754716981132, 0, 0;
  35, 897, 0.08592777085927771, 0.01328711727325245, 0, 0;
  36, 965, 0.1437346437346437, 0.01683501683501683, 0, 0;
  37, 984, 0.1464705882352941, 0.01895991332611051, 0, 0;
  38, 984, 0.1475218658892128, 0.02958267300581088, 0, 0;
  39, 984, 0.1290877796901893, 0.02875065342394145, 0, 0;
  40, 984, 0.04792332268370607, 0.009230769230769232, 0, 0;
  41, 984, 0.1784431137724551, 0.009230769230769232, 0, 0;
  42, 984, 0.1798561151079137, 0.04514073287307488, 0, 0;
  43, 984, 0.1441860465116279, 0.04347826086956522, 0, 0;
  44, 984, 0.07364975450081833, 0.01286670097786928, 0, 0;
  45, 984, 0.1862567811934901, 0.01652892561983471, 0, 0;
  46, 984, 0.1963525835866261, 0.05920344456404737, 0, 0;
  47, 984, 0.1869722557297949, 0.06782419967444384, 0, 0;
  48, 984, 0.184115523465704, 0.05240641711229947, 0.0005083884087442806, 0;
  49, 984, 0.2647814910025707, 0.07540983606557378, 0.006134969325153374, 0;
  50, 984, 0.1992687385740402, 0.08489525909592062, 0.005620848237097598, 0;
  51, 984, 0.1037577117218172, 0.04625199362041468, 0.001017293997965412, 0;
  52, 984, 0.2, 0.04569606801275239, 0.001017293997965412, 0;
  53, 984, 0.2655948553054662, 0.08489525909592062, 0.003569607343192249, 0;
  54, 984, 0.2029339853300733, 0.08729281767955802, 0.003569607343192249, 0;
  55, 984, 0.2416403785488959, 0.08072487644151564, 0.001526717557251908, 0;
  56, 984, 0.2377358490566038, 0.09090909090909091, 0.01234567901234568, 0;
  57, 984, 0.2058823529411765, 0.08131868131868132, 0.007164790174002047, 0;
  58, 984, 0.177737881508079, 0.08013172338090011, 0.01026694045174538, 0;
  59, 984, 0.2118226600985222, 0.07599781301257517, 0.01026694045174538, 0;
  60, 984, 0.3297297297297297, 0.1019036954087346, 0.008713480266529985, 0;
  61, 984, 0.280416395575797, 0.1316848763657274, 0.009230769230769232, 0;
  62, 984, 0.280416395575797, 0.1124929338609384, 0.007164790174002047, 0]

Track Set Properties
--------------------

Largest Track ID: 40405
Smallest Frame ID: 0
Largest Frame ID: 62

